ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Site,Lat,Lon,Count,Dive,Sal_ppt,TempC,O2,Depth,Cond,Substrate,Thickness,ORP_sd_100,SENTRY_dive
EC7543,5,goniata,7.432537807,4.567202268,4.668100189,3.022306238,0.586944707,Jaco Scar,9.11778,-84.839533,30,4977,34.63475948,2.515026544,101.42076,1803.125841,3.171868862,Mussel,0.35,-0.06328516,503
EC7705,1,laevis,5.98192344,3.942627599,4.236058601,2.717958412,0.030434783,Mound 12,8.9308,-84.312633,5,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.28,-1.3978343,502
EC7705,2,laevis,6.201583176,3.720982987,3.975708885,2.634593573,0.015796314,Mound 12,8.9308,-84.312633,5,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.26,-1.3978343,502
EC7705,3,laevis,5.68286862,3.872826087,4.257561437,2.691824197,0,Mound 12,8.9308,-84.312633,5,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.32,-1.3978343,502
EC7706,1,laevis,6.471195652,4.131190926,4.331663516,2.895604915,0,Mound 12,8.9308,-84.3126,73,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.13,-1.0447368,502
EC7706,2,laevis,4.868241966,3.157939509,3.438468809,2.136720227,0,Mound 12,8.9308,-84.3126,73,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.31,-1.0447368,502
EC7706,3,laevis,6.307939509,4.498062382,4.455056711,2.95879017,0,Mound 12,8.9308,-84.3126,73,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.4,-1.0447368,502
EC7706,4,laevis,7.153662571,4.800756144,5.174905482,3.272400756,0.032336957,Mound 12,8.9308,-84.3126,73,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.2,-1.0447368,502
EC7706,5,laevis,5.544092628,3.823534972,4.136153119,2.6018431,0.028615312,Mound 12,8.9308,-84.3126,73,4978,34.58191,4.90541,34.103092,1004.48685,3.345514,Mussel,0.29,-1.0447368,502
EC8130,1,laevis,4.06668242,2.871786389,3.033884688,1.896550095,0,Mound 12,8.9307,-84.3128183,20,4984,34.58051149,4.651996396,33.991472,1004.458356,3.322748829,Mussel,0.31,0.22005957,502
EC8130,2,laevis,4.452079395,3.228071834,3.358081285,2.073534972,0,Mound 12,8.9307,-84.3128183,20,4984,34.58051149,4.651996396,33.991472,1004.458356,3.322748829,Mussel,0.16,0.22005957,502
